text,reviewId,city,lan
"I am saddened that I have to give this restaurant a poor rating because the customer service was excellent. The young lady at the counter was very polite and professional. However, the rib sandwich that I ordered was absolutely terrible. The ribs were small they were dry and hard for the price that I paid $10.89. I got three very small bones. So the rating that I’m given is not for the customer service it is most definitely a rating of a 2 rating of 1 to 10 on the item and a 10 on the Customer service. This was my first time so I do plan to revisit to try one of the other items to give it a second chance. However, after this time if the item isn’t good I will not go back.",ChdDSUhNMG9nS0VJQ0FnSURsaTdYY3dBRRAB,Atlanta,en
"Come and get it!! My first visit. I ordered the rib dinner. Lawd! my rib were tender and moist. Mac and cheese collard greens were perfectly season. I should've ordered another dinner for later. I will return, much love to the owner and team. Everyone was pleasant. Great service.",ChZDSUhNMG9nS0VJQ0FnSURSNGNxdVV3EAE,Atlanta,en
"Best soul food in town. If you tired of eating at restaurants that’s cheap, where they give you more sauce then they give you meat.. lol come on down to yard bbq Josh will get you right",ChZDSUhNMG9nS0VJQ0FnSUNoblpPMlNBEAE,Atlanta,en
I would leave 0 stars if I could drove 30 mins to find that there closed like why not have the correct information online so unprofessional don’t waste your time & if you still go call 1st to avoid being disappointed!,ChdDSUhNMG9nS0VJQ0FnSURCMWZDYl9BRRAB,Atlanta,en
"My first time eating here most definitely won’t be my last!! Food & service was amazing! Everything was hot & fresh! It’s literally a home cooked meal just in a restaurant! I’m looking forward to eating here again! Thanks again! I was hungry so I got the best photo I could, but trust me the photo does the food no justice it really was amazing!",ChdDSUhNMG9nS0VJQ0FnSURCcUxLbDdRRRAB,Atlanta,en
By far the best ribs & chicken since they closed William's  bar b q. 2 thumbs up!!!!,ChdDSUhNMG9nS0VJQ0FnSURCNEluMi1nRRAB,Atlanta,en
"You can smell the food before you walk in Mrs Malinda was so nice and generous, definitely coming back. Oh and yes they have All Day Breakfast!!!",ChZDSUhNMG9nS0VJQ0FnSUNCNzVYT1B3EAE,Atlanta,en
The staff are really nice,ChZDSUhNMG9nS0VJQ0FnSUREM3J6d2NnEAE,Atlanta,en
"Good ribs, with or without sauce.... ample amount of food and good price point!",ChZDSUhNMG9nS0VJQ0FnSUNkak8tQkVBEAE,Atlanta,en
"I was riding past and the smoke smelled so good I had to stop! I got chicken wings, the guy at the window recommended the beef brisket so I tried it too and it was GOOD af lol. Baked beans and mac n cheese was on point too I’ll definitely be back",ChZDSUhNMG9nS0VJQ0FnSUNkaU95eERBEAE,Atlanta,en
