title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking type options,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewImageUrls/35,reviewImageUrls/36,reviewImageUrls/37,reviewImageUrls/38,reviewImageUrls/39
Backyard Grill Truck,2,"I am saddened that I have to give this restaurant a poor rating because the customer service was excellent. The young lady at the counter was very polite and professional. However, the rib sandwich that I ordered was absolutely terrible. The ribs were small they were dry and hard for the price that I paid $10.89. I got three very small bones. So the rating that I’m given is not for the customer service it is most definitely a rating of a 2 rating of 1 to 10 on the item and a 10 on the Customer service. This was my first time so I do plan to revisit to try one of the other items to give it a second chance. However, after this time if the item isn’t good I will not go back.",2023-12-03T20:59:59.681Z,0,,9,FALSE,2023-12-03T21:35:17.283Z,,4 months ago,,Dinner,,$10–20,,Take out,5,2,5,ChdDSUhNMG9nS0VJQ0FnSURsaTdYY3dBRRAB,,,,,Google,,104341531436107487814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,5,,2023-11-14T18:29:24.470Z,0,,34,TRUE,2023-12-03T21:35:40.977Z,,5 months ago,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNsM091SnJnRRAB,,,,,Google,,117266760954046030783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,5,"Come and get it!! My first visit. I ordered the rib dinner. Lawd! my rib were tender and moist. Mac and cheese collard greens were perfectly season. I should've ordered another dinner for later. I will return, much love to the owner and team. Everyone was pleasant. Great service.",2023-04-27T04:38:29.083Z,0,,12,TRUE,2023-12-03T21:37:49.069Z,,11 months ago,,Dinner,,$10–20,,Take out,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURSNGNxdVV3EAE,https://lh5.googleusercontent.com/p/AF1QipPejRUIJsLTvoeWE3UtToeCB2rFctCt5gdtEec=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPXjUU7B-QUQ6C7LV9N1juoJ1xck0v3yGhrk5c=w150-h150-k-no-p,,,Google,,105554326096419515462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,5,"Best soul food in town. If you tired of eating at restaurants that’s cheap, where they give you more sauce then they give you meat.. lol come on down to yard bbq Josh will get you right",2023-02-19T23:20:10.223Z,0,,2,FALSE,2023-12-03T21:38:09.092Z,,a year ago,,Dinner,,$20–30,,Take out,,,,ChZDSUhNMG9nS0VJQ0FnSUNoblpPMlNBEAE,,,,,Google,,100666500900639345420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,1,I would leave 0 stars if I could drove 30 mins to find that there closed like why not have the correct information online so unprofessional don’t waste your time & if you still go call 1st to avoid being disappointed!,2023-01-25T01:27:15.788Z,0,,25,TRUE,2023-12-03T21:38:27.973Z,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURCMWZDYl9BRRAB,,,,,Google,,113554443496967688537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,5,"My first time eating here most definitely won’t be my last!! Food & service was amazing! Everything was hot & fresh! It’s literally a home cooked meal just in a restaurant! I’m looking forward to eating here again! Thanks again! I was hungry so I got the best photo I could, but trust me the photo does the food no justice it really was amazing!",2023-01-10T13:52:41.784Z,0,,1,FALSE,2023-12-03T21:38:41.837Z,,a year ago,,Brunch,,$1–10,,Take out,,,,ChdDSUhNMG9nS0VJQ0FnSURCcUxLbDdRRRAB,https://lh5.googleusercontent.com/p/AF1QipNRVfYaUINxLsrJDR4UrBj3_LiKBbmL4mmkqsfC=w150-h150-k-no-p,,,,Google,,112279834080170883456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,5,By far the best ribs & chicken since they closed William's  bar b q. 2 thumbs up!!!!,2023-01-09T13:27:40.415Z,0,,14,TRUE,2023-12-03T21:39:00.392Z,,a year ago,,Lunch,,$20–30,,Take out,,,,ChdDSUhNMG9nS0VJQ0FnSURCNEluMi1nRRAB,,,,,Google,,103657560174283671757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,5,"You can smell the food before you walk in😋 Mrs Malinda was so nice and generous, definitely coming back. Oh and yes they have All Day Breakfast!!!",2023-01-07T23:37:15.384Z,1,,1,FALSE,2023-12-03T21:39:30.874Z,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNCNzVYT1B3EAE,,,,,Google,,114287623942325463040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backyard Grill Truck,5,,2023-01-02T19:42:02.424Z,0,,8,TRUE,2023-12-03T21:39:42.589Z,,a year ago,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNCZ19UbS1nRRAB,,,,,Google,,107139417449864524932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlabhouseBBQ,4,The staff are really nice,2024-04-09T23:47:03.972Z,0,,468,FALSE,,,2 weeks ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUREM3J6d2NnEAE,,,,,Google,,103605787198337887668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SlabhouseBBQ,4,"Good ribs, with or without sauce.... ample amount of food and good price point!",2024-02-13T06:04:05.482Z,0,,257,TRUE,,,2 months ago,,Dinner,,$10–20,,Take out,2,4,2,ChZDSUhNMG9nS0VJQ0FnSUNkak8tQkVBEAE,,,,,Google,,100767704866205678603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
