title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25
Evidence of Trust: African Wholesale and Retail Store:,5,,2024-03-03T10:37:37.016Z,0,,,FALSE,,,a month ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUM5akpTYV9RRRAB,,,,,,,Google,,105466905845565779602,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,Love the yams!!!! Thank you,2023-11-12T17:53:12.524Z,0,,1,FALSE,,,5 months ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNsb0pXdktREAE,,,,,,,Google,,108736439296592558895,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,,2023-09-18T11:01:02.542Z,0,,1,FALSE,,,7 months ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNacTU3Z0xnEAE,,,,,,,Google,,113374512703908379816,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,,2023-05-31T21:06:04.019Z,0,,8,FALSE,,,10 months ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUR4NkxyV0ZREAE,,,,,,,Google,,114648282215564620635,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,Helpful and moderate prices,2023-05-31T09:39:53.651Z,0,,69,TRUE,,,10 months ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNteWF6RF9BRRAB,,,,,,,Google,,116859388683748324068,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,,2023-04-10T00:25:15.773Z,0,,11,TRUE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNSazRXcEJBEAE,,,,,,,Google,,102511160027611250847,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,Love the service,2023-03-22T23:57:34.931Z,0,,27,TRUE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNSa0tlSUlBEAE,,,,,,,Google,,115204960073802696576,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,,2023-03-09T22:57:11.017Z,0,,16,FALSE,,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURodnFXbWp3RRAB,,,,,,,Google,,103462688633356450061,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,An excellent store for African foodstuffs!,2022-08-26T20:21:22.820Z,0,,13,TRUE,,,a year ago,,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUR1cmVtT3l3RRAB,,,,,,,Google,,111057919731355624305,,,,,,,,,,,,,,,,,,,,,,,
Evidence of Trust: African Wholesale and Retail Store:,5,,2022-07-31T22:59:41.254Z,0,,1,FALSE,,,a year ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUN1NmFYRWRBEAE,,,,,,,Google,,117614248106644998600,,,,,,,,,,,,,,,,,,,,,,,
