title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking type options,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16
Papa Johns Pizza,4,,2024-02-25T23:57:54.838Z,0,,56,TRUE,,,a month ago,,,,,,,4,5,4,ChdDSUhNMG9nS0VJQ0FnSURkOWZTVl9BRRAB,,,,,,Google,,104865514602874179546,,,,,,,,,,,,,,,,
Papa Johns Pizza,5,,2024-01-30T13:18:20.334Z,0,,101,TRUE,,,2 months ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUN0dnB2clNBEAE,,,,,,Google,,103219414754133481081,,,,,,,,,,,,,,,,
Papa Johns Pizza,1,The  pizza was ice cold and there was no cheese on the pizza (at all) my daughter was starving otherwise I’d have a picture. . I paid $25 for a large 1 topping! I’ve had hot pockets that have tasted better. Tighten up,2024-01-27T15:34:59.612Z,0,,1,FALSE,,,2 months ago,,,,,,,,1,3,ChZDSUhNMG9nS0VJQ0FnSUROMzdYbU9REAE,,,,,,Google,,115752622980965674787,,,,,,,,,,,,,,,,
Papa Johns Pizza,5,AJ is a fantastic employee and helped me out with the cancellation process when I mistakenly ordered to the wrong store. Best Papa John’s experience I’ve ever had!,2024-01-24T01:15:38.558Z,0,,2,FALSE,,,2 months ago,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUROdVlUdmtnRRAB,,,,,,Google,,107008961262683083385,,,,,,,,,,,,,,,,
Papa Johns Pizza,5,,2024-01-21T00:00:02.440Z,0,,,FALSE,,,3 months ago,,,,,,Take out,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUROZ3NIT0xBEAE,,,,,,Google,,106465032848499163401,,,,,,,,,,,,,,,,
Papa Johns Pizza,3,"I’ll start off with saying the pizza was still great, after we warmed it up again…. The  delivery driver laid it on our rail and did not knock to let us know it was here. We eventually found it, and it was cold.
Honestly the mananger was straight forward and an awesome person to work with. He helped us out and that was that.",2024-01-07T05:17:40.453Z,0,,4,FALSE,,,3 months ago,,Dinner,,$10–20,,Delivery,1,5,3,ChZDSUhNMG9nS0VJQ0FnSUQxenF2akZREAE,,,,,,Google,,104759167018044092095,,,,,,,,,,,,,,,,
Papa Johns Pizza,1,"I ordered a large veggie and a large cheese pizza, They were so bad the cheese was hard and dry the veggie pizza was so horrible.",2024-01-06T19:49:11.791Z,1,,14,FALSE,,,3 months ago,,,,,,Take out,2,1,3,ChZDSUhNMG9nS0VJQ0FnSUQxcHRLemVnEAE,,,,,,Google,,116936219946813959825,,,,,,,,,,,,,,,,
Papa Johns Pizza,1,Pizza was cold and hard .,2023-12-10T14:24:22.820Z,0,,2,FALSE,,,4 months ago,,Dinner,,$20–30,,Take out,1,1,1,ChdDSUhNMG9nS0VJQ0FnSURWOE9IZWpRRRAB,,,,,,Google,,107254889673041571200,,,,,,,,,,,,,,,,
Papa Johns Pizza,2,,2023-12-05T11:38:15.069Z,0,,134,FALSE,,,4 months ago,,,,,,,1,1,1,ChdDSUhNMG9nS0VJQ0FnSUNWaE1TcnFRRRAB,,,,,,Google,,118088470019541876696,,,,,,,,,,,,,,,,
Papa Johns Pizza,1,"Not sure what happened here, recently delivery times have been over an hour and food is cold on arrival. Their delivery method switched to Door dash instead of internal drivers and since then it’s been lame. bummer",2023-10-05T23:58:55.794Z,0,,4,FALSE,,,6 months ago,,Dinner,,$20–30,,Delivery,1,1,1,ChdDSUhNMG9nS0VJQ0FnSURaOWVHdXB3RRAB,,,,,,Google,,100384017137900100421,,,,,,,,,,,,,,,,
Papa Johns Pizza,1,They do not answer the phone. They let the phone ring and keep putting you back in queue. They did not deliver my full order but I have no way of getting in contact with anyone. I had to submit feedback and have to wait 24-48 hours for someone to contact me.,2023-09-01T01:38:06.888Z,1,,4,FALSE,,,7 months ago,,,,,,,,,1,ChdDSUhNMG9nS0VJQ0FnSURwbjhqcjRRRRAB,,,,,,Google,,116086001641505238645,,,,,,,,,,,,,,,,
Papa Johns Pizza,5,Good,2023-08-27T00:58:03.246Z,0,,37,FALSE,,,7 months ago,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURwcmRlaS1BRRAB,,,,,,Google,,106456152616917372915,,,,,,,,,,,,,,,,
Papa Johns Pizza,5,,2023-08-15T16:14:03.985Z,0,,68,TRUE,,,8 months ago,,,,,,,4,4,4,ChZDSUhNMG9nS0VJQ0FnSURwbVB2Y0NREAE,,,,,,Google,,103152463911118020765,,,,,,,,,,,,,,,,
