title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Parking type options,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11
OTF Food Truck,1,,2024-04-05T10:02:03.826Z,0,,169,TRUE,,,2 weeks ago,,,,,,,,3,1,3,ChdDSUhNMG9nS0VJQ0FnSUREMkxYTC13RRAB,,,,,Google,,115377891065727888720,,,,,,,,,,,
OTF Food Truck,5,"Awesome Food.
Try Everything, You cant' go wrong!
So proud of these long time, local (Gaston County) business owners for sharing their amazing menu with Charlotte and beyond.",2024-02-26T14:35:25.893Z,1,,4,FALSE,2024-02-27T00:15:59.757Z,,a month ago,,,,,,,,5,5,5,ChRDSUhNMG9nS0VJQ0FnSURkdlpsehAB,,,,,Google,,115803668728200899222,,,,,,,,,,,
OTF Food Truck,1,"We experienced racism with this food truck. My sister and I were excited to try this place because we’d heard about it. We walked over and stood at the truck, looked at the menu for about five minutes. The two workers came over to the window, looked at us, did not speak to us and walked away. Didn’t acknowledge us at all. We’re two black women, so it felt like blatant racism. We got back into our car and watched a white woman come up the truck a few minutes later and she was greeted right away! Disappointed but not surprised. Took our money elsewhere. I might make a TikTok about it to warn others.",2024-02-24T22:46:30.297Z,0,,17,FALSE,2024-02-25T18:11:32.731Z,,a month ago,,Dinner,,,$1–10,,Take out,1,1,1,ChdDSUhNMG9nS0VJQ0FnSURkcVllQnNnRRAB,,,,,Google,,107734329951167455674,,,,,,,,,,,
OTF Food Truck,5,Wife and I had the hulk and it was incredible.  Would definitely recommend!  The people running it are awesome and clearly huge LOTR and Star wars fans which we love.  Can't wait to run into y'all in again.  It was a blast while at the botanical gardens.,2023-12-22T14:17:15.517Z,0,,1,FALSE,2023-12-27T00:06:34.492Z,,4 months ago,,Dinner,,,$10–20,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUMxLU5yeEdREAE,,,,,Google,,112204189517234577050,,,,,,,,,,,
OTF Food Truck,5,"We just had this food at Birdsong and it was amazing! Next time I see this truck I will absolutely be getting dinner again!!!
10/10",2023-11-09T23:08:52.954Z,0,,2,FALSE,2023-11-10T14:15:50.465Z,,5 months ago,,Dinner,,,$10–20,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURGazRYNDFnRRAB,,,,,Google,,112983308146262962955,,,,,,,,,,,
OTF Food Truck,5,The food was amazing! Had a Marty chicken sandwich and loved every bite,2023-08-02T17:43:02.520Z,1,,20,FALSE,2023-09-06T23:28:01.445Z,,8 months ago,,Lunch,,,$10–20,,,,5,5,ChdDSUhNMG9nS0VJQ0FnSUNweHAzQ3JBRRAB,,,,,Google,,115889027814669304242,,,,,,,,,,,
OTF Food Truck,5,Ordered the pippin. Most amazing thing I have ever eaten from a food truck. Big enough for my husband and I to split,2023-06-24T19:15:37.282Z,1,,37,FALSE,2023-09-06T23:26:28.871Z,,10 months ago,,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNKeXJpendnRRAB,,,,,Google,,117608288286157121706,,,,,,,,,,,
OTF Food Truck,5,,2023-06-21T17:07:09.027Z,0,,9,FALSE,,,10 months ago,,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNKMU1XV0VBEAE,,,,,Google,,102699540727110824097,,,,,,,,,,,
OTF Food Truck,5,,2023-05-30T18:06:18.439Z,0,,3,FALSE,,,10 months ago,,Lunch,,,$10–20,,Take out,,,,ChdDSUhNMG9nS0VJQ0FnSUR4a0xUamdBRRAB,,,,,Google,,108912689401337119926,,,,,,,,,,,
OTF Food Truck,5,The Hulk is friggin' delicious.  Can not think of a single thing that would make my OTF experience better.,2023-02-23T04:24:38.935Z,1,,3,FALSE,,,a year ago,,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNodTVUOFJREAE,,,,,Google,,116429661571684848450,,,,,,,,,,,
