title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13
Gene's Bistro,1,"Only reason this place is still in business is because it’s in an airport, McDonald’s food, airport prices",2024-04-22T00:31:56.918Z,1,,8,FALSE,,,a day ago,,Breakfast,,$50–100,,Dine in,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUR1bnVQZGJREAE,,,,,Google,,114195442388848929073,,,,,,,,,,,,,
Gene's Bistro,1,"I had the bacon cheeseburger. It was easily in the top 10 of worst burgers ever! Totally dry and no taste! Comes with a salad or for $2 more you can get fries. Do yourself a favor and skip this place! I paid $36 for a horrible burger, lousy salad, and a beer.",2024-04-12T21:17:00.352Z,0,,6,FALSE,,,a week ago,,Lunch,,$30–50,,Dine in,,,,ChZDSUhNMG9nS0VJQ0FnSUREcmJiRUF3EAE,,,,,Google,,110814927873201960228,,,,,,,,,,,,,
Gene's Bistro,1,"TERRIBLE food for the price. The food was absolutely mediocre and paying over $20 per plate just ruined the meal experience. My pasta looked old, and paying the extra $6 for “grilled” chicken that tasted like canned chicken was a huge bummer. I would not be surprised if they just reheated my plate in the microwave. My wife’s salad was again mediocre and the chicken could very well have come out of a can. The fries were greasy and seemed old as well. My daughter’s spaghetti tasted old and dry. My son’s chicken tenders had a lot of bread and little chicken. To be fair the kids meals were $8.99. The place just seems to have zero accountability to make its food competitive since it’s at an airport and they can just let people come to them with no need to retain customers. Please take your money and spend it as a place that cares to provide tasty food.",2024-04-06T20:08:10.844Z,1,,6,FALSE,,,2 weeks ago,,Dinner,,$20–30,,Dine in,2,1,3,ChZDSUhNMG9nS0VJQ0FnSUREM0lpNmN3EAE,,,,,Google,,105966020072602280641,,,,,,,,,,,,,
Gene's Bistro,2,"It was a nice place to sit during my layover and our server was nice, but not great. The food was outrageously priced for the poor quality.",2024-04-06T19:59:20.615Z,0,,10,FALSE,,,2 weeks ago,,,,,,,4,1,3,ChZDSUhNMG9nS0VJQ0FnSUREM0lEdU5nEAE,,,,,Google,,115597382044238879191,,,,,,,,,,,,,
Gene's Bistro,1,Please tear this place down and turn it into a McDonald's,2024-04-05T14:50:23.688Z,0,,52,TRUE,,,2 weeks ago,,,,,,,1,1,1,ChZDSUhNMG9nS0VJQ0FnSURELU4tMUp3EAE,,,,,Google,,100158747182288083120,,,,,,,,,,,,,
Gene's Bistro,2,"Staff seemed indifferent too me purchased a couple of burgers and a margarita and the total  cost was over $75, and the small margarita was $23 dollars .

Thanks",2024-03-28T20:28:50.232Z,1,,1,FALSE,,,3 weeks ago,,Lunch,,$50–100,,Dine in,2,3,2,ChZDSUhNMG9nS0VJQ0FnSUNEX3RpTUlnEAE,,,,,Google,,117559822318377693527,,,,,,,,,,,,,
Gene's Bistro,1,"We got there with plenty of time for a drink and food, 50 minutes later we got our food and basically had to plead for take away silverware lol!   The place clearly needs new management",2024-03-22T20:29:57.111Z,0,,7,FALSE,,,a month ago,,,,,,,2,2,1,ChdDSUhNMG9nS0VJQ0FnSUQ5Mzh2WDhBRRAB,,,,,Google,,112184329512379256027,,,,,,,,,,,,,
Gene's Bistro,1,The other reviews are correct. Don't come here,2024-03-22T19:56:20.676Z,0,,86,TRUE,,,a month ago,,,,,,,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUQ5My1HOFJ3EAE,,,,,Google,,103059586039970835658,,,,,,,,,,,,,
Gene's Bistro,5,"Look, there are limited options at Midway. You don’t come here expecting a 5-star restaurant. You deal with what you got. Gene’s just happens to be here. HOWEVER, Jason T was our waiter here and this guy crushed it. He was slammed busy and still took care of his entire section with a smile on his face. Absolutely crushed it. Shoutout Jason T. Now that I think about it, this place should be called Jason’s.",2024-03-22T00:46:51.209Z,0,,24,TRUE,,,a month ago,,Dinner,,$20–30,,Dine in,3,4,5,ChZDSUhNMG9nS0VJQ0FnSUQ5NTVIX0xREAE,,,,,Google,,104958189604237008565,,,,,,,,,,,,,
Gene's Bistro,1,"We gave this place a shot.  Should have realized why it wasnt as busy as the other restaraunts.

I had the Penne Vodke pasta but must have forgotten to ask for flavor and sauce because my meal was missing both.

My wife had one of their sandwiches which was very dry with little to no toppings.  Her salad also did not have dressing.

Its worth the wait to go elsewhere.",2024-03-19T12:50:18.150Z,0,,5,FALSE,,,a month ago,,,,$20–30,,,2,1,1,ChdDSUhNMG9nS0VJQ0FnSUQ5dGZENXV3RRAB,,,,,Google,,114965216097583482696,,,,,,,,,,,,,
