title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewImageUrls/35,reviewImageUrls/36,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking type options
Stanford's Restaurant,5,I have always been confused by this listing as it appears a duplication of an Antoine’s Restaurant listing. Today I had the Réveillon Lunch at Antoine’s. I asked the manager and he had no idea. This rating therefore is for my great experience at Antoine’s. The food was plentiful and delicious and my server could not have been better. This was a totally enjoyable experience at a great restaurant.,2023-12-11T22:54:02.969Z,1,,1196,TRUE,,,4 months ago,,Lunch,Plenty of parking,$50–100,Somewhat recommend,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURWNHZQZHNRRRAB,https://lh5.googleusercontent.com/p/AF1QipMPAuDtUvfZkMHs777Vvyoz8BM8NyzIfkX0CAN2=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN7F92QHE1TwG7P4h7KTvVgxonwdarpoS4NMFd9=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipODB28Jit-vzcl0lhand2KtBbtLErWCWmpblRG0=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNHUb3UTEBiiap4H1OUFYPrUHiI8iatrNEpqeGV=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNFD5JbM-fYMi_g_Ti5nC9sI6kWqg1kTx44OSTt=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPv6Qc5tO-xVOnpLVvRjPDsuPZwypoLI-K2Eal4=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO4FgGdU4wbl4ah96U6u9j7IrnfYx0lXq9QYw6u=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOzKBZzd43x49KNiJU-5f9C2_df3KvKehhK-vmV=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOslTEvY77diJcOjmGw5vjZdVVo5_WpIxXwIr4j=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM8wzlhTWDep8pVpudzb0oEmTiLM0vgG8MOQvs7=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOfH0lUCK-7BAKvIVXTzC0zw4u5dRHd4Dfp5r-c=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOURGTnQAwtebpXyA99vpVOXJN1HrQK0TH_J79U=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNKRfOCnFWLeZ2jrSu1hvOKePE-hDNQPwF1A2Zp=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN_fujOytB8x0JTvuH_PHNa9Z0p73O0X9bASYZ5=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP1mfPI1Pu3iy_0WdESbJe9UT5IZke-uBqSXJSF=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipONg30xksKD87_UTd6aEIBJhtk7aJcoNGAT0XoY=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOfXJyyjMOl_FpyVtiJAyw6g70xFNpfK2sNlvfu=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOhC8lRF8YyBlGRuban55NM2RRvaVi13Ic_5j_p=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNX45iK7K8Jk4ngv39YNfWi5VAcIggWOGIsFb7D=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNNpYXjA7y8SkmJyBHO03seQ6iG57lZB9aMxIxJ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM8WTz2J7CLe1NylDWOkwVDA8d8UmqZk4GlLRBq=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP4v8WfCBAuwsCxVmqANeDIIyT0bb2KMnWkQ9gf=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNVLXwOdHEB_H6JK5X1e6USV3e5SY4PeiWSm5HJ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNTccQjHN1W-terJz-4-xSA09A7x9g4rRpa_zah=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOcBCp7Mkluz62-1Qv6Q8ODSi0tzDqb-3uEQo7h=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNsWII9JzoyL7kuazUZ2d-Ess1IjZG8X81id9oZ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMFC7v6MAN8f9rXm8Z8n0wO8fX1z7ltnasjf3HW=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOLLifb3jU2Lmv3TauUvqjeXM4f7GL9cvRjtI_u=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNiIH2Sc0Nguz124k-JMMbNNHXTBBN3DfmpUXRW=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOe5HUqdX5oLfwoWk7Ix6C7QYoQ76zcX0NAymlm=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO4AcAxiqelRP8D9WDu5olWAq5PvJ3FXlikFOVk=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNhqd-tXuk4-qQMvkE0_ETvEOXO9U_RolkRgBqt=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPBHz66eFxQdHN_zUsQCj098Pa_S-LIEu7I1vgw=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNeuU1J91NOS1ZKLoQ7P_jdfIqhKhktiUD76w-4=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOnHWuyBsIN6zMxhO44TN18Zs4u6kXebrvCM-2Y=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNfRbVRVjjDoiqhzlzpGHrFT44PTRJ5ToZOv-DU=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNdXbUG61JY3EiznINF8ViD4T2dX6x7bEr-1BNg=w150-h150-k-no-p,Google,,111341191635673349312,,,,
Stanford's Restaurant,5,"Restaurante  de excelencia con enorme historia.
Comimos maravillosa.ente bien en un comedor  alque arribamos después  de e pasillos laberinticos.
La ambientación excelente e histórica. Con arañas de caireles una vajilla y cristaleria extraordinarias y excelente atención  de los mozos.
Mis felicitaciones al cheff por la carta bien lograda.
Recomiendo  las pastas rellenas y los platillos a base de los mariscos locales.
El postre Antonie ¡¡¡  IMPERDIBLE !!",2018-03-29T16:42:11.655Z,0,,941,FALSE,,,6 years ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURRdU5UaVNnEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,100680427822677440746,,,"Restaurant of excellence with enormous history.
We ate wonderfully well in a dining room that we arrived at after the labyrinthine corridors.
The excellent and historical setting. With chandeliers, extraordinary crockery and glassware and excellent service from the waiters.
My congratulations to the chef for the well-done menu.
I recommend the stuffed pastas and dishes based on local seafood.
Antonie's dessert is UNMISSABLE!!",
The Original French Market Restaurant and Bar,5,"Lots of good food at a good price in the heart of the French Quarter. The only knock was that the bathroom was not the greatest. We had a great server in Duane. He smiled, was patient and gave some on-point recommendations.",2024-04-24T18:51:47.113Z,0,,37,FALSE,2024-04-24T19:10:39.751Z,,53 minutes ago,,Dinner,,$20–30,Somewhat recommend,Dine in,4,5,5,ChZDSUhNMG9nS0VJQ0FnSUNqbllQRUhREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,114985073921531562271,,,,
The Original French Market Restaurant and Bar,1,"Worse dining experience of my life. Definitely- ⭐️ if I could. Service was bad, restroom was bad, & the food was so horrible I was sick immediately after eating just a few bites!! I’d rather burn my $100+ spent there than eat there again. 1st time visiting  New Orleans & this experience completely ruined it for me & my family. We walked in & the vibe wasn’t friendly at all. I should have known to trust my gut feeling. The server coldly handed us menus & left. I was debating if we should leave cuz he didn’t come back for like 15mins, but I wanted to give him another chance. He quickly took our orders & left with a cold expression. My son ordered dirty rice & he said we don’t have that. So I’m like ok maybe he’s having a bad day it’s whatever. Wrong!! While waiting for our food, I went to use the restroom. Doors were broken for both stalls. Toilet paper roll on the ground & one didn’t even have toilet paper. There was no soap or paper towels. It was so sketchy, I decided to hold myself until we got to another bathroom. When we finally got our food it didn’t look bad but after tasting the food I felt sick right away. And wasn’t sure if it was just me. But nope!! Tried the jambalaya rice & it tasted like sour partially uncooked rice. Horrible!! Took a few bites of my seafood boiled. The potato & corn textured seemed ok but the flavor was very strange. You’d think since Louisiana is know for their seafood boils it’ll be at least edible. I don’t know what seasoning they put in their seafood boiled, but 🤢🤮🤮🤮. I ate one shrimp & it tasted like I was eating raw stanky fish. I had a few other people tried it & said it was bad too. I immediately decided we shouldn’t eat anymore of our food. I didn’t don’t want us to get food poisoning since we were on a road trip & had many stops to go yet. Our bill was $100+ for the most nastiest food ever. My husband was so kind he still left a tip despite how horrible everything was. I literally was trying hard not to vomit as we were walking out of the restaurant. I barely made it out before vomiting outside & on the way to the public restroom a few blocks away. It was so bad I couldn’t get rid of that nasty taste in my mouth. I drank half a bottle of coke & ate ice cream to cleanse my palate. Finally stopped my urges to vomit. My hands stank like raw fish even after washing my hands 20 times at 5 different bathrooms. I have never left a online review for a restaurant before, but I want to warn people about how horrible this experience was. It’s so sad that there was absolutely nothing good about this restaurant. Try it at your own risk.",2024-04-24T05:22:06.313Z,0,,1,FALSE,,,14 hours ago,,Lunch,,$100+,,Dine in,1,1,1,ChdDSUhNMG9nS0VJQ0FnSUNqbFliNHd3RRAB,https://lh5.googleusercontent.com/p/AF1QipMXIcJ-VwoHF-mjKQf0Ac1H3pNVx55yRTcoAgC0=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPx6mJNnNN_ZbqY3y1tB85dlWguqj14eFemcKVw=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,110135412653940465486,,,,
The Original French Market Restaurant and Bar,5,"Historic and centrally located, sitting outside, or inside up or down stairs is nice. The 120ish year old building has charm and knowing it’s family owned since the 60s isn’t bad either. Prices were decent for downtown. Bathrooms were ok. The food had great seasoning, full of flavor and did a good job filling me up with the amount ordered. My dinner guests were just as pleased with their food. Only ding was at the beginning we ordered dessert to come after our meal, but it never came and not on the bill so we paid and didn’t bring it up, next time we will try it.",2024-04-23T20:40:19.302Z,0,,499,TRUE,2024-04-24T19:12:48.139Z,,23 hours ago,,Lunch,,$10–20,,Dine in,5,5,4,ChdDSUhNMG9nS0VJQ0FnSUNqaFpURjh3RRAB,https://lh5.googleusercontent.com/p/AF1QipMO3ils6knxY6ITrGprQh7vQeYQNUhSt5IpuWaH=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMV9tTV1F9LSQvw5KVtITjA-ypxQxytRBIcu6WU=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPS4ZPxXmwsoO39cRed7mXuIM1IP5DhJPFMuBcj=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMpEqlJ10jOKFkVJMbwCQL2zS2SuMbnaYh2ZXr3=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNbEJcp8y6GYh2Oqhgr3pQFjrp7lTiZWHT71IRZ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN1t5_u39Q3DtPFbBsFZRW1hcDLoScjyaqUhFL4=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,101590764452072301974,,,,
The Original French Market Restaurant and Bar,3,"French market restaurant and bar

Not worth the hype. Crawfish etoufee was meh--bland seasoning and chewy crawfish. Shrimp creole was meh---bland seasoning and the Shrimp did not taste fresh at all. There was a distinct previously frozen taste. Jambalaya was very very dry and the sausage was burned.
Felt rushed by the waiter. Fumes from the seafood seasoning permeated the restaurant unlike any other restaurant I've been to before and made us sneeze frequently and made our eyes water.
Bathroom was atrocious.  Toilet paper was on the floor and the floor was wet.
Positives--oysters were good and the boiled shrimp was good.",2024-04-23T02:21:59.811Z,0,,47,FALSE,,,a day ago,,,,,,,3,3,3,ChZDSUhNMG9nS0VJQ0FnSUNqOFliaktnEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,102477169335369406057,,,,
The Original French Market Restaurant and Bar,1,"We frequent New Orleans. Unfortunately this was our worst stop. We got a couple of pounds of crawfish and over half of them were mushy and disgusting.

The other Mayjor turn off was the way they shun local distilleries. When we come to New Orleans, we want a New Orleans experience. Tito’s is for Texas.",2024-04-22T23:09:47.035Z,0,,30,FALSE,,,a day ago,,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNqc2JUdlRBEAE,https://lh5.googleusercontent.com/p/AF1QipP3gY4gJbQwistA_3VAj0h2cKxmEW0U0v-rEz0n=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113227491438336902798,,,,
The Original French Market Restaurant and Bar,3,,2024-04-22T16:16:46.852Z,0,,75,TRUE,,,2 days ago,,Dinner,,$20–30,,Dine in,3,3,3,ChdDSUhNMG9nS0VJQ0FnSUNqNGVURjJ3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,108994959975854742434,,,,
The Original French Market Restaurant and Bar,5,The food was absolutely amazing!  Highly recommended  . HAD AMAZING CRAWFISH AND SALMON.,2024-04-22T13:57:10.811Z,0,,87,TRUE,2024-04-22T16:38:15.885Z,,2 days ago,,,,,,Dine in,4,5,4,ChZDSUhNMG9nS0VJQ0FnSUNqd1ktMWNREAE,https://lh5.googleusercontent.com/p/AF1QipOtYnul57aR4dN4cA1ckBRS9XStlYCXUlvWH4MJ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOLltlolJIrzjWZRdqIV53mfWvG0UmbOqJ6l94Q=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPfhoyWtuFl2L5iXM240nHhbG54c41AJr6i0NRF=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,109944705077366725289,,,,
The Original French Market Restaurant and Bar,1,"Just an update they charged the card about 3 times in the end and we had to dispute, no apology for trying to charge us almost $300 . All the locals will tell you to avoid these places i agree, ask for local favorites and take an uber or wall or trolly all easy and fun.  Get your souvenirs from the french quarter not your food, eat local.  Edited review since we left and came home after checking the credit card not only did they build us twice for the wrong dinner that was 2 times as much money as our meal was but they also charged us for a meal as well Do not go here they will rip you off and they assured us that our credit card was going to get fixed.......  If you want good food there are so many places outside of the French quarter go to magazine street go to city center go to garden district anywhere but the French quarter right now.....This was my first review after leaving that evening and being told R meal was going to get charged correctly.....Food was ok per french quarter standards and have us wrong bill and the run around when they took another card for our meal, not ok. Your better off at popeyes",2024-04-22T13:11:47.895Z,2,,19,TRUE,,,2 days ago,,Dinner,,$50–100,,Dine in,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUNEcU0tRFd3EAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,111276633748052388061,,,,
