title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking space
Taco Bell,4,When did Taco Bell get so expensive?,2024-03-28T09:18:54.939Z,0,,557,TRUE,,,3 weeks ago,,,,,,4,3,3,ChdDSUhNMG9nS0VJQ0FnSUNEenRUSDV3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113828508661075053687,,,,
Taco Bell,1,"Ordered a chicken bowl ,chicken was hard and no Guacamole I told thr cashier that chicken bowl w/ Guacamoleshe said no it doesn't order#9a397b @5625
BROADWAY, BRONX NY",2024-03-21T18:00:27.372Z,0,,38,FALSE,,,a month ago,,Lunch,$20–30,,,1,1,1,ChdDSUhNMG9nS0VJQ0FnSUQ5aDZHTHpRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,104968027626199514188,,,,
Taco Bell,1,"The Cashier did not speak english at least not enough to understand my order.I got it home and it was all wrong.It was a big disappointment,I think I was overcharged. Would rather drive to Central Avenue Than to Go to This Taco Bell. The place has a peculiar odor.
And other people I know have been disappointed in the service and the food.",2024-03-19T21:37:51.087Z,0,,35,FALSE,,,a month ago,,Dinner,$10–20,,Take out,1,2,1,ChZDSUhNMG9nS0VJQ0FnSUQ5cmREcFZnEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,100963682459997011319,,,,
Taco Bell,5,I ordered my food from here and everything taste delicious. And I live 2 block away from here so I just ordered for fast service 🙂,2024-03-14T05:46:46.263Z,0,,11,FALSE,,,a month ago,,Dinner,$20–30,,Delivery,,5,,ChZDSUhNMG9nS0VJQ0FnSUQ5N1BIWFpREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,102415584862801530469,,,,
Taco Bell,1,They keep giving me diet soda,2024-02-24T19:48:44.613Z,0,,2,FALSE,,,a month ago,,,,,,5,,,ChZDSUhNMG9nS0VJQ0FnSURkeWNpa0NnEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113807936298939331282,,,,
Taco Bell,5,Best Taco bell I ever had,2024-02-23T05:34:55.740Z,0,,2,FALSE,,,a month ago,,Dinner,$10–20,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSURkeHZ2TmhnRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,106231204374036592871,,,,
Taco Bell,5,,2024-02-20T22:49:53.350Z,0,,9,TRUE,,,2 months ago,,,,,,5,5,4,ChZDSUhNMG9nS0VJQ0FnSUNkaU8td1BREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,108342397962483418408,,,,
Taco Bell,5,"First time there and the workers were moving 👍 they had fast service , place was very clean and one of the employees was passing me a cup while inspecting it and saw it was dirty so he tossed it and passed me a clean one after also rinsing it 👍 small things. When I got to my destination and looked at the food the items were not skimpy they were made like they should be all the time where at other locations theres barely anything inside.",2024-02-09T23:00:05.578Z,0,,5,FALSE,,,2 months ago,,Dinner,$10–20,,Take out,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNkMEtDWlBREAE,https://lh5.googleusercontent.com/p/AF1QipOwTNUAAfmBldcMxB_gWtOvzMFiXr_LRIx2yGYQ=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,116644089107572096111,,,,
Taco Bell,5,,2024-02-05T01:54:05.661Z,0,,28,FALSE,,,2 months ago,,Lunch,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUR0b2JiWFVREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113849102244732575184,,,,
Taco Bell,5,,2024-01-22T21:58:31.460Z,0,,3,FALSE,,,3 months ago,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUROX3RMNmVREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,113971370541360407026,,,,
Taco Bell,2,Slow service. Infact very few staffs,2024-01-12T18:47:56.967Z,0,,6,FALSE,,,3 months ago,,,,,,3,3,1,ChdDSUhNMG9nS0VJQ0FnSUNON05PaTd3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,103104761895038189172,,,,
Taco Bell,4,,2024-01-07T16:40:30.488Z,0,,9,FALSE,,,3 months ago,,Other,$10–20,,Take out,,,,ChZDSUhNMG9nS0VJQ0FnSUQxd2I2YklREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,110611894679230614183,,,,
Taco Bell,3,,2023-12-31T16:14:29.613Z,0,,6,FALSE,,,3 months ago,,Dinner,$10–20,,Take out,3,3,3,ChZDSUhNMG9nS0VJQ0FnSUMxc2V6cFdREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,100742755842139705954,,,,Difficult to find parking
Taco Bell,5,,2023-12-02T03:07:17.745Z,0,,86,TRUE,,,4 months ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURsbnZUcGZBEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,116615596810515324298,,,,
Taco Bell,1,Had my account hacked and used at this location,2023-10-28T20:26:13.975Z,0,,3,FALSE,,,5 months ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNGOFp1MmJREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,115204644339798766851,,,,
Sabor Latino,3,,2024-04-22T04:14:45.264Z,0,,,FALSE,,,21 hours ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNqM3RXVzl3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,100006819799493925612,,,,
Sabor Latino,5,,2024-04-21T21:37:19.357Z,0,,1,FALSE,,,a day ago,,Dinner,$30–50,,Dine in,5,5,5,ChRDSUhNMG9nS0VJQ0FnSUNqN3JJchAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,116404187881449183087,,,,
Sabor Latino,5,,2024-04-21T21:26:49.498Z,0,,2,FALSE,,,a day ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNqN3Z5c1R3EAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,109517064079926397580,,,,
Sabor Latino,5,Uno de los mejores restaurantes de new York su ambiente es muy agradable su menú de comida es muy exquisita el servicio de los meseros muy amigables 💯❌💯…recomendable……,2024-04-18T20:00:08.631Z,0,,7,TRUE,,,4 days ago,,Dinner,$30–50,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUNqbkltV0V3EAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,103670400306078390865,,,"One of the best restaurants in New York, its atmosphere is very pleasant, its food menu is very exquisite, the service of the very friendly waiters 💯❌💯…recommended……",
Sabor Latino,5,,2024-04-16T20:15:59.409Z,0,,24,TRUE,,,6 days ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNqa0lxVndRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,101987024680158348771,,,,
Sabor Latino,5,,2024-04-15T18:29:39.234Z,0,,9,FALSE,,,a week ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUREajlIOV9BRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,105637346348145569265,,,,
Sabor Latino,1,,2024-04-14T12:18:34.312Z,0,,46,TRUE,,,a week ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURENi1HQWx3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,117499495891519420531,,,,
Sabor Latino,5,"Muy Mala experiencia. Te dicen y venden una cosa y después te dicen otra cosa y la excusa es que ""todos los fines hay mal entendidos, los dueños ni los gerentes están disponibles para hablar... y para colmo te dicen ""de que te quejas?"" No recomendable! Muy Mala atención!",2024-04-14T07:15:13.157Z,1,,49,TRUE,2024-01-19T23:25:33.213Z,,a week ago,,Dinner,$20–30,Somewhat recommend,Dine in,1,1,1,ChZDSUhNMG9nS0VJQ0FnSUNObTRDMUVBEAE,https://lh5.googleusercontent.com/p/AF1QipOMv8Z9PBOQ4ouwp7ASWSQrQmnBEomHuz81uCCB=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO_jYw_YtD0Re43nsDxO5U6Mv1zh8OURZB-3zqC=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM652vc4_8C5x49WCQlzrno50XycP_iadDFAFip=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,110591239589672266085,,,"Very bad experience. They tell you and sell you one thing and then they tell you something else and the excuse is that ""every weekend there are misunderstandings, the owners or the managers are not available to talk... and to make matters worse they tell you ""what are you complaining about?"" No. recommended! Very bad attention!",
Sabor Latino,5,Tenia mucho tiempo que no la pasaban tannnn bien!!! Un lugar divertido y la comida y atención fenomenal esto es TODO en uno 😎,2024-04-12T18:13:56.794Z,0,,31,TRUE,,,a week ago,,Dinner,,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUREalllRGV3EAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,105779772997534587737,,,"It's been a long time since they had such a good time!!! A fun place and phenomenal food and service, this is ALL in one 😎",
Sabor Latino,5,,2024-04-12T01:30:50.402Z,0,,1,FALSE,,,a week ago,,Dinner,$30–50,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUREeFlhUXp3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,105136159310594880632,,,,
Sabor Latino,5,"The food was amazing !
Me and my family devoured the food !!
I will def be coming back
Especially for happy hour ! LOL
9/10",2024-04-11T22:40:01.382Z,1,,9,FALSE,2024-04-12T01:27:04.613Z,,a week ago,,Dinner,$50–100,,Dine in,5,4,5,ChZDSUhNMG9nS0VJQ0FnSUREaFpudFBBEAE,https://lh5.googleusercontent.com/p/AF1QipMs4HKG4vl2K3NwXMN6v7hMRfomx8Jkn1S4vaba=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,104229971403945542228,,,,
Sabor Latino,5,Un lugar muy acogedor para poder compartir en familia  nada fuera de lo común,2024-04-10T19:53:53.735Z,0,,1,FALSE,2024-04-12T01:28:33.569Z,,a week ago,,Dinner,$100+,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUREa2NPMlZREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,108061250620889815016,,,A very cozy place to be able to share anything out of the ordinary with your family.,
Sabor Latino,5,Muy buena experincia,2024-04-10T18:05:48.353Z,1,,2,FALSE,2024-04-12T01:29:18.666Z,,a week ago,,Dinner,$10–20,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUREa2JEWndBRRAB,https://lh5.googleusercontent.com/p/AF1QipMbNw2KEtwDYLKw4NaqCup7dj2olzHCk4pGhrJk=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,,103243235019299550356,,,Very good experience,
