title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking space,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,,,,,,,
Sicilian Pizza,3,Okay not great,2024-03-12T11:32:21.082Z,0,,337,TRUE,,,a month ago,,,,,Take out,3,3,3,ChdDSUhNMG9nS0VJQ0FnSUQ5ME02OXhnRRAB,,,,,,Google,,105467639842733752132,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,The best bacon pizza in all of DC (I lie to u not),2024-03-03T02:40:45.007Z,0,,1,FALSE,,,a month ago,,Dinner,$10–20,,Take out,4,5,5,ChZDSUhNMG9nS0VJQ0FnSUM5dE5hSFhREAE,,,,,,Google,,113958234034566318073,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,These guys are great !!!! Very friendly staff and all fresh ingredients and very generously added toppings !!!,2023-12-31T00:48:39.024Z,0,,9,FALSE,,,3 months ago,,Other,$20–30,Highly recommend,Take out,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUMxb2ZIeGhBRRAB,,,,,,Google,,100456555349370518285,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,,2023-12-16T01:43:49.050Z,0,,6,FALSE,,,4 months ago,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURWeTlTZ1BBEAE,,,,,,Google,,116620978103427072452,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,4,Perfectly fine pizza. Lots of options and delivery is usually pretty quick.,2023-11-13T15:29:28.505Z,0,,36,TRUE,,,5 months ago,,,,,Delivery,4,4,4,ChdDSUhNMG9nS0VJQ0FnSUNsNk5xV3FRRRAB,,,,,,Google,,106893634503692495782,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,"We ordered the meat classic pizza, chicken tenders and cheesy bread. Everything arrived super fast and it was all delicious. The pizza definitely beats out other delivery. Will definitely be ordering again.",2023-11-12T22:13:45.933Z,0,,17,FALSE,,,5 months ago,,,$50–100,,Delivery,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNsa1BUZDdRRRAB,,,,,,Google,,110774423065597483400,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,"Even though the area is a little questionable and there is an industrial smell in the air, the food was bomb! There is so many options and toppings to try. I was a little lost when trying to pick something. So I just tried a large pizza with two toppings and he made it the way I like it with hardly any crust so I definitely know where to stop by again.",2023-11-08T21:51:13.603Z,1,,218,TRUE,,,5 months ago,,Dinner,$10–20,Somewhat recommend,Take out,3,5,5,ChdDSUhNMG9nS0VJQ0FnSURGMWRpb3R3RRAB,,,,,,Google,,116845665416001424578,,,,Plenty of parking,,,,,,,,,,,,,,,
Sicilian Pizza,1,"I ordered pizza from this company all the time and today I received my pizza. The pizza was burnt, taste like a burnt pizza and absolutely hard as a rock felt like a paper weight. I called at 8:17pm on 10/22 to let them know and person I spoke to was absolutely condescending and rude. Explain to me that I was wrong and this is how it is made. I reiterated that I order all the time and this is not how their pizza taste. It taste like burnt cardboard. He then says this is how we make it and hangs up phone. I will never order again just off customer service. If they acknowledged their mistake and even offered to remake then I wouldn’t be writing this review and would continue to be a loyal customer.",2023-10-23T00:20:50.911Z,,,8,FALSE,,,6 months ago,,,,,,,1,1,ChdDSUhNMG9nS0VJQ0FnSUQ1NnB1TnFnRRAB,,,,,,Google,,111507667044141647677,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,5,,2023-09-21T16:22:06.538Z,0,,21,FALSE,,,7 months ago,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNaXzZuaDB3RRAB,,,,,,Google,,113686070352194294375,,,,,,,,,,,,,,,,,,,
Sicilian Pizza,1,remember a year ago i came here in desperate need to call 911 … i was held hostage and had to run to the nearest phone and this was the only place in my proximity .. there was a lady working at the front who hesitated to give me access to the store phone even though i was in need …she had the nerve to ask was i sure that’s what i wanted to do ..  took her over 5 mins which could have cost me my life … wouldn’t support just because of that and the pizza was mid anyway,2023-09-18T15:53:13.086Z,1,,1,FALSE,,,7 months ago,,,,,,1,2,1,ChZDSUhNMG9nS0VJQ0FnSUNabTVTWFNBEAE,,,,,,Google,,107268114605747800424,,,,,,,,,,,,,,,,,,,
